classification,text
Arts,"Bestselling author Elizabeth Gilbert returns for the second season of her hit podcast MAGIC LESSONS, ready to help another batch of aspiring artists overcome their fears and create more joyfully. This year’s guest experts include Neil Gaiman, Gary Shteyngart, Amy Purdy, Michael Ian Black, Brandon Stanton, Martha Beck, and Glennon Doyle Melton. 

MAGIC LESSONS art courtesy of Riverhead Books, an imprint of Penguin Random House LLC."
Video Games,"The leaders in gaming news hand-pick the day's hottest news. Basically, if you've ever wished the Paparazzi would follow around Batman and Zelda, the Daily Fix is for you."
Business News,"The Tech M&A Podcast pulls from the best of the Tech M&A Monthly webcast, hosted by Corum Group, the global leader in technology mergers and acquisitions. The podcast features special reports on sectors, buyers, trends and M&A processes, as well as panel discussions and interviews featuring both recent sellers and major tech buyers like Google, Microsoft, Salesforce and others."
Management & Marketing,"A podcast about entrepreneurs who quit their jobs to start successful online businesses.  Through a series of personal interviews, Steve extracts the little details and the exact strategies that contributed to their success.  All of the entrepreneurs featured on the show bootstrapped their businesses from the ground up and hustled their way to the top without risking their life savings, without sacrificing their relationships by working 100 hour weeks and without needing extensive technical knowledge.  There is no fluff and every episode is packed with actionable takeaways."
Medicine,"A podcast about how doctors think. Presented by Figure 1, the knowledge-sharing app for healthcare. Learn more at figure1.com/DDx"
Christianity,"Through this podcast, John and Lisa Bevere hope to challenge and prepare you for a successful life in Christ. For more information or to contact us visit our website at MessengerInternational.org"
Comedy,The official podcast of comedians Ethan & Hila Klein of h3h3productions.
Performing,"An Old Time Radio podcast of the 1940s Superman radio show starting Bud Collyer. All episodes shown believed to be in the public domain.
This Podcast was created using www.talkshoe.com"
Medicine,"UCSF's Osher Center for Integrative Medicine presents Mini Medical School for the Public, a series of programs providing an opportunity to learn about health and the health sciences directly from UCSF faculty members and other nationally-recognized experts."
Language Courses,"Russian teacher Daria will help you to improve your Russian listening skills.  In this podcast the Russian language is finally SLOW enough, so you don't have any problems understanding it. And if you do, the vocabulary section is just for you! 
You will also get some tips on Russian culture, traditions and daily life.
Listen to slow Russian – learn faster!  

Podcast website - http://realrussianclub.com/slowrussianpodcast/
YouTube - https://www.youtube.com/realrussianclubchannel
Twitter - https://twitter.com/realrussianteam

Donate with PayPal - https://www.paypal.me/realrussianclub

© 2016 Daria Molchanova"
Outdoor,Out There is a podcast that explores big questions through intimate stories in the great outdoors.
